news_count,avg_sentiment,std_sentiment,pos_ratio,neg_ratio,ma_keyword_count,ma_keyword_ratio,max_sentiment,min_sentiment,transaction_id,window,label,announcement_date,primary_industry,deal_value_usd,transaction_type
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2158486,baseline,0,2025-07-14,Unclassified,4000000.0,Acquisition of Asset or Branch
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2183062,pre,1,2025-12-09,Unclassified,,Acquisition of Asset or Branch
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2183062,baseline,0,2025-12-09,Unclassified,,Acquisition of Asset or Branch
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2157252,pre,1,2025-07-08,Application Software,,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2157252,baseline,0,2025-07-08,Application Software,,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2159063,pre,1,2025-06-26,Unclassified,,Acquisition of Asset or Branch
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2159063,baseline,0,2025-06-26,Unclassified,,Acquisition of Asset or Branch
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2158173,pre,1,2025-07-10,Unclassified,,Acquisition of Asset or Branch
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2158173,baseline,0,2025-07-10,Unclassified,,Acquisition of Asset or Branch
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2172589,pre,1,2025-09-30,"Containers and Packaging: Metal, Glass, and Plastic",,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2172589,baseline,0,2025-09-30,"Containers and Packaging: Metal, Glass, and Plastic",,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2185343,pre,1,2025-12-19,Application Software,240000000.0,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2185343,baseline,0,2025-12-19,Application Software,240000000.0,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2153767,pre,1,2025-06-17,Unclassified,,Acquisition of Asset or Branch
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2153767,baseline,0,2025-06-17,Unclassified,,Acquisition of Asset or Branch
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2160050,baseline,0,2025-07-22,Renewable Electricity,,Acquisition of Asset or Branch
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2162497,pre,1,2025-08-04,Unclassified,,Acquisition of Asset or Branch
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2162497,baseline,0,2025-08-04,Unclassified,,Acquisition of Asset or Branch
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2173440,pre,1,2025-10-01,Oil and Gas Equipment and Services,,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2173440,baseline,0,2025-10-01,Oil and Gas Equipment and Services,,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2159036,baseline,0,2025-07-16,Health Care Services,,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2182092,pre,1,2025-12-02,Unclassified,55500000.0,Acquisition of Asset or Branch
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2182092,baseline,0,2025-12-02,Unclassified,55500000.0,Acquisition of Asset or Branch
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2160113,pre,1,2025-07-23,Machinery and Supplies and Components: Industrial,,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2160113,baseline,0,2025-07-23,Machinery and Supplies and Components: Industrial,,Acquisition of Whole Company (incl. Majority Stake)
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2165284,pre,1,2025-08-20,Unclassified,,Acquisition of Asset or Branch
0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,SPTRD2165284,baseline,0,2025-08-20,Unclassified,,Acquisition of Asset or Branch
